#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS:  50   5
# Band-Index    1


   Band-Index    3
   0.00000      6.070173
   0.12715      6.131755
   0.25430      6.316450
   0.38145      6.624315
   0.50860      7.055293
   0.63574      7.609390
   0.76289      8.286587
   0.89004      9.086837
   1.01719     10.010107
   1.14434     10.809763
   1.27149     11.938677
   1.39864     13.217251
   1.52579     14.615576
   1.65293     13.903890
   1.78008     12.561563
   1.90723     11.351656
   2.03438     10.360750
   2.16153      9.533133
   2.28868      8.671339
   2.41583      7.932618
   2.54298      7.316952
   2.67012      6.824403
   2.79727      6.454992
   2.92442      6.208709
   3.05157      6.085561
   3.17872      6.085561
   3.30587      6.208709
   3.43302      6.454992
   3.56017      6.824403
   3.68731      7.316952
   3.81446      7.932618
   3.94161      8.671339
   4.06876      9.533133
   4.19591     10.360750
   4.32306     11.351656
   4.45021     12.561563
   4.57736     13.903890
   4.70450     14.615576
   4.83165     13.217251
   4.95880     11.938677
   5.08595     10.809763
   5.21310     10.010107
   5.34025      9.086837
   5.46740      8.286587
   5.59455      7.609390
   5.72170      7.055293
   5.84884      6.624315
   5.97599      6.316450
   6.10314      6.131755
   6.23029      6.070173
 
   Band-Index    4
   6.23029      6.070173
   6.10314      6.131755
   5.97599      6.316450
   5.84884      6.624315
   5.72170      7.055293
   5.59455      7.609390
   5.46740      8.286587
   5.34025      9.086837
   5.21310     10.010107
   5.08595     11.056146
   4.95880     12.224601
   4.83165     13.514032
   4.70450     14.904554
   4.57736     14.201808
   4.45021     12.854411
   4.32306     11.625109
   4.19591     10.517792
   4.06876      9.533134
   3.94161      8.671339
   3.81446      7.932618
   3.68731      7.316952
   3.56017      6.824403
   3.43302      6.454992
   3.30587      6.208709
   3.17872      6.085561
   3.05157      6.085561
   2.92442      6.208709
   2.79727      6.454992
   2.67012      6.824403
   2.54298      7.316952
   2.41583      7.932618
   2.28868      8.671339
   2.16153      9.533133
   2.03438     10.517792
   1.90723     11.625109
   1.78008     12.854411
   1.65293     14.201808
   1.52579     14.904554
   1.39864     13.514032
   1.27149     12.224601
   1.14434     11.056146
   1.01719     10.010107
   0.89004      9.086837
   0.76289      8.286587
   0.63574      7.609390
   0.50860      7.055293
   0.38145      6.624315
   0.25430      6.316450
   0.12715      6.131755
   0.00000      6.070173
 
   Band-Index    5
   0.00000      7.157049
   0.12715      7.218645
   0.25430      7.403431
   0.38145      7.711407
   0.50860      8.142574
   0.63574      8.696931
   0.76289      9.374479
   0.89004     10.175212
   1.01719     10.348985
   1.14434     11.056148
   1.27149     12.224601
   1.39864     13.514034
   1.52579     14.904676
   1.65293     14.201809
   1.78008     12.854412
   1.90723     11.625109
   2.03438     10.517792
   2.16153     10.621832
   2.28868      9.759447
   2.41583      9.020306
   2.54298      8.404354
   2.67012      7.911592
   2.79727      7.542020
   2.92442      7.295639
   3.05157      7.172448
   3.17872      7.172448
   3.30587      7.295639
   3.43302      7.542020
   3.56017      7.911592
   3.68731      8.404356
   3.81446      9.020306
   3.94161      9.759449
   4.06876     10.621789
   4.19591     10.517793
   4.32306     11.625109
   4.45021     12.854413
   4.57736     14.201810
   4.70450     14.904564
   4.83165     13.514033
   4.95880     12.224601
   5.08595     11.056146
   5.21310     10.348986
   5.34025     10.175212
   5.46740      9.374477
   5.59455      8.696931
   5.72170      8.142574
   5.84884      7.711407
   5.97599      7.403431
   6.10314      7.218645
   6.23029      7.157050
